Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
55,[0.6287293993582402],[0.7835562159484893],[0.5348920540546808],[0.8188976377952756]
56,[0.6254250370316602],[0.7835562159484893],[0.5252981692787231],[0.8307086614173228]
57,[0.5975714128403572],[0.8112927191679049],[0.5190581991447238],[0.8307086614173228]
58,[0.6271138909785331],[0.7795938583457157],[0.5274749717374486],[0.8228346456692913]
59,[0.6186878205290403],[0.7870232788509163],[0.5223642010388412],[0.8307086614173228]
60,[0.6194223632547984],[0.7954432887568103],[0.5099193083019707],[0.8307086614173228]
61,[0.5983709753770058],[0.8003962357602774],[0.508034268467445],[0.8366141732283464]
62,[0.6114194896948579],[0.7899950470529965],[0.5097836924819495],[0.8287401574803149]
63,[0.585997631551016],[0.8088162456661714],[0.5110967281296497],[0.8366141732283464]
64,[0.5955358263051646],[0.8033680039623576],[0.5217328573775104],[0.8326771653543307]
65,[0.5939968804902166],[0.7964338781575037],[0.5074352786296935],[0.8307086614173228]
66,[0.6010027754832282],[0.8033680039623576],[0.5202026719183434],[0.8248031496062992]
67,[0.5887388221517301],[0.8068350668647846],[0.49899592479382915],[0.8346456692913385]
68,[0.6110418376915522],[0.7984150569588906],[0.49367258820946763],[0.8326771653543307]
69,[0.5989063983509126],[0.7894997523526498],[0.5031953949158586],[0.8385826771653543]
70,[0.6008170448712278],[0.7929668152550767],[0.48721657705119276],[0.8366141732283464]
71,[0.598330094650159],[0.7989103516592373],[0.515871673587739],[0.8267716535433071]
72,[0.5801405073570225],[0.8003962357602774],[0.5088739981801491],[0.8287401574803149]
73,[0.6026534942588102],[0.7944526993561168],[0.48735015997736475],[0.8405511811023622]
74,[0.5905183833858174],[0.8008915304606241],[0.5064689399689202],[0.8267716535433071]
75,[0.58641902027064],[0.7964338781575037],[0.48093518544369795],[0.844488188976378]
76,[0.5669026795798685],[0.8122833085685983],[0.4869360984779718],[0.8366141732283464]
77,[0.5796168081355366],[0.8048538880633977],[0.47889757649166376],[0.8267716535433071]
78,[0.5933166187313773],[0.8033680039623576],[0.4884300208467198],[0.8267716535433071]
79,[0.5716694152077688],[0.8073303615651313],[0.4872882812041936],[0.8405511811023622]
80,[0.5819839015935186],[0.7979197622585439],[0.5007067907044268],[0.8287401574803149]
81,[0.5788022497315523],[0.8018821198613175],[0.48878436224667104],[0.84251968503937]
82,[0.576798997904299],[0.7969291728578505],[0.47634455585104274],[0.844488188976378]
83,[0.5880049054371124],[0.8038632986627043],[0.4800184087490472],[0.8385826771653543]
84,[0.5798324924580469],[0.8088162456661714],[0.48635948126710304],[0.8326771653543307]
85,[0.5839433388995794],[0.7979197622585439],[0.4806251356920858],[0.844488188976378]
86,[0.5659863884759575],[0.8073303615651313],[0.48273180929694587],[0.8385826771653543]
87,[0.5883775630051573],[0.7944526993561168],[0.4731073459302347],[0.8464566929133859]
88,[0.5696094045549291],[0.8063397721644379],[0.48097629575278816],[0.8385826771653543]
89,[0.5705223036851548],[0.812778603268945],[0.4731465324642151],[0.8464566929133859]
90,[0.5617906915604212],[0.8083209509658247],[0.4838466132719686],[0.844488188976378]
91,[0.5671000716679163],[0.8083209509658247],[0.46944778969907386],[0.8464566929133859]
92,[0.571408869489223],[0.8093115403665181],[0.46760865025163634],[0.8523622047244095]
93,[0.5570773976518707],[0.8048538880633977],[0.4644390471338287],[0.8346456692913385]
94,[0.5391212704749672],[0.8335809806835067],[0.4786922811992525],[0.8385826771653543]
95,[0.5683586754794165],[0.8003962357602774],[0.4661457186608803],[0.8484251968503937]
96,[0.5567051154543351],[0.8068350668647846],[0.47075698471914124],[0.8503937007874016]
97,[0.5429484279159273],[0.821198613174839],[0.4727201837254322],[0.8385826771653543]
98,[0.5514697967749412],[0.8098068350668648],[0.4619495455674299],[0.844488188976378]
99,[0.5480386150420569],[0.8093115403665181],[0.4675767496814878],[0.8405511811023622]
100,[0.5435071119050568],[0.8246656760772659],[0.48010458814816215],[0.8326771653543307]
