Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
40,[0.7200132543571823],[0.7625523012552301],[0.6312933452686448],[0.7677329624478443]
41,[0.7179620744792986],[0.7562761506276151],[0.6403649140962805],[0.7732962447844228]
42,[0.7222514356196841],[0.7405857740585774],[0.6261773896980021],[0.7858136300417247]
43,[0.7098768048372894],[0.7646443514644351],[0.6125022706799779],[0.803894297635605]
44,[0.6931130704853159],[0.7611576011157601],[0.6221696993903424],[0.7844228094575799]
45,[0.7126294842491256],[0.75418410041841],[0.6233612782268763],[0.7844228094575799]
46,[0.7122622733335615],[0.754881450488145],[0.6219097635344769],[0.7885952712100139]
47,[0.7114522847836653],[0.7583682008368201],[0.6390328845825248],[0.7760778859527121]
48,[0.7204687824807905],[0.749302649930265],[0.6170127802996045],[0.7746870653685675]
49,[0.6965425440124554],[0.7594142259414226],[0.5955087855064488],[0.8025034770514604]
50,[0.6894725290136191],[0.7576708507670851],[0.618328577619932],[0.7913769123783032]
51,[0.6856321151286489],[0.7639470013947002],[0.6073829484002481],[0.7927677329624478]
52,[0.692133864432033],[0.7618549511854951],[0.6008080447996773],[0.799721835883171]
53,[0.6985195717219694],[0.7597629009762901],[0.5929764812612732],[0.7927677329624478]
54,[0.6906229295823697],[0.7594142259414226],[0.6241557360192831],[0.7774687065368567]
55,[0.6644476369501324],[0.7688284518828452],[0.5966342448027642],[0.7913769123783032]
56,[0.6664354338140501],[0.7705718270571827],[0.5860703093451817],[0.7941585535465925]
57,[0.6946248445384505],[0.754881450488145],[0.596564905782734],[0.8122392211404729]
58,[0.6838208703815188],[0.7723152022315202],[0.6040496622239433],[0.7885952712100139]
59,[0.6865791429868137],[0.7583682008368201],[0.5971213389338307],[0.7969401947148818]
60,[0.6754414012741344],[0.7670850767085077],[0.5926040299081338],[0.7983310152990264]
61,[0.6661260314233799],[0.7744072524407253],[0.6012647483544489],[0.7955493741307371]
62,[0.6742555967102157],[0.7576708507670851],[0.6075904836077684],[0.7872044506258693]
63,[0.6621839310168555],[0.7733612273361228],[0.5845436832669382],[0.7955493741307371]
64,[0.6862893913414023],[0.7649930264993027],[0.5955383917925586],[0.7899860917941586]
65,[0.6472799259249635],[0.7792887029288703],[0.6012301182216331],[0.7927677329624478]
66,[0.6471743723338618],[0.7841701534170153],[0.6006739371675112],[0.7927677329624478]
67,[0.6524591739789545],[0.7726638772663877],[0.5716830565385593],[0.8247566063977747]
68,[0.649532711655525],[0.7789400278940027],[0.5779734202485755],[0.8094575799721836]
69,[0.654465679344273],[0.7726638772663877],[0.5858191165124922],[0.7955493741307371]
70,[0.6539995841567653],[0.7726638772663877],[0.5901544048491042],[0.799721835883171]
71,[0.6464221352396983],[0.7740585774058577],[0.5780700719572075],[0.8025034770514604]
72,[0.6489655382962406],[0.7775453277545328],[0.5847461316449586],[0.7983310152990264]
73,[0.6437531815246891],[0.7789400278940027],[0.5737869182863222],[0.8122392211404729]
74,[0.6518846320474164],[0.7855648535564853],[0.5896307223363778],[0.8011126564673157]
