Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
28,[0.9080491120508616],[0.6730072463768116],[0.7635946599598222],[0.7190542420027817]
29,[0.8911182730850102],[0.6766304347826086],[0.7463819702908459],[0.7301808066759388]
30,[0.8982427663345268],[0.6787817028985508],[0.7457380809604873],[0.7232267037552156]
31,[0.8895519805559213],[0.6776494565217391],[0.7388101313807205],[0.7287899860917941]
32,[0.9022457444689412],[0.6737998188405797],[0.7474118816006996],[0.7246175243393602]
33,[0.8876980882192004],[0.6809329710144928],[0.7258517850755153],[0.7482614742698191]
34,[0.8807254444969737],[0.6771965579710145],[0.7442732847947239],[0.7371349095966621]
35,[0.8814511010288328],[0.681046195652174],[0.7199376191897253],[0.7399165507649513]
36,[0.8777921107476172],[0.676177536231884],[0.729730391286842],[0.7329624478442281]
37,[0.8764434126408204],[0.6859148550724637],[0.7230890889824348],[0.7385257301808067]
38,[0.8692480870994969],[0.6886322463768116],[0.7258215001130137],[0.7482614742698191]
39,[0.8655498897575814],[0.6908967391304348],[0.7338298975343664],[0.721835883171071]
40,[0.8657404282602711],[0.6907835144927537],[0.7330295364780453],[0.7329624478442281]
41,[0.8613024857165157],[0.6919157608695652],[0.7224873778551444],[0.7343532684283728]
42,[0.8654578331372013],[0.6895380434782609],[0.737667971924051],[0.7329624478442281]
43,[0.8642881668672182],[0.6856884057971014],[0.7274913927112733],[0.7385257301808067]
44,[0.870414825723223],[0.6779891304347826],[0.7098023798601684],[0.7357440890125174]
45,[0.8574599568070709],[0.6878396739130435],[0.718566199005562],[0.7343532684283728]
46,[0.8632267884694148],[0.6868206521739131],[0.7140619591479507],[0.7301808066759388]
47,[0.8683275883288487],[0.683990036231884],[0.7341341315788089],[0.7301808066759388]
48,[0.8644995395148146],[0.6855751811594203],[0.7175094708282195],[0.7343532684283728]
49,[0.8497326132180034],[0.6915760869565217],[0.726578046118268],[0.7301808066759388]
50,[0.8550308679864891],[0.6887454710144928],[0.7314205436613695],[0.741307371349096]
51,[0.8539019538548546],[0.6850090579710145],[0.7117078290197879],[0.7482614742698191]
52,[0.8642145421733891],[0.6856884057971014],[0.7050379079472537],[0.7454798331015299]
53,[0.8528006846166175],[0.6911231884057971],[0.7245498372550137],[0.7260083449235049]
54,[0.8550769185674363],[0.6880661231884058],[0.7004999240681591],[0.7454798331015299]
55,[0.8422408789612245],[0.691009963768116],[0.7066207543865198],[0.7371349095966621]
56,[0.8498027926121933],[0.6904438405797102],[0.7013438863366304],[0.741307371349096]
57,[0.8466274901900602],[0.6889719202898551],[0.7200775968846095],[0.7343532684283728]
58,[0.8571595787678076],[0.6902173913043478],[0.7013194871877264],[0.7454798331015299]
59,[0.8572493236026039],[0.6891983695652174],[0.7019882253546045],[0.7301808066759388]
60,[0.85244746344245],[0.6901041666666666],[0.7010686455582047],[0.741307371349096]
61,[0.8452550844437834],[0.6914628623188406],[0.7005964201332299],[0.741307371349096]
62,[0.8558573353009812],[0.6913496376811594],[0.7057461457557572],[0.7482614742698191]
63,[0.8306543099275534],[0.6941802536231884],[0.6993300551665177],[0.7426981919332406]
64,[0.8489718877750895],[0.6919157608695652],[0.6901320368258778],[0.7482614742698191]
65,[0.8505737127709216],[0.6879528985507246],[0.7030621932013807],[0.7454798331015299]
66,[0.8289966510905735],[0.6980298913043478],[0.6924882410133001],[0.7440890125173852]
67,[0.8415646581654099],[0.6925951086956522],[0.6924304847757077],[0.7482614742698191]
68,[0.8343840075683766],[0.6955389492753623],[0.7022090355278885],[0.7315716272600834]
69,[0.8349570223278757],[0.6976902173913043],[0.7187985168544573],[0.7287899860917941]
70,[0.8459025372521601],[0.6908967391304348],[0.7054312285528064],[0.7357440890125174]
71,[0.8260035141762616],[0.6983695652173914],[0.6896017389436756],[0.7538247566063978]
72,[0.8355788623077282],[0.699615036231884],[0.7133929558688974],[0.7399165507649513]
73,[0.8374743927540123],[0.6953125],[0.7251908799869129],[0.7399165507649513]
74,[0.8239410607603149],[0.6987092391304348],[0.7130312020987563],[0.7454798331015299]
