Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
52,[0.8559410217339578],[0.6919157608695652],[0.7118905684878332],[0.7315716272600834]
53,[0.8462515677986802],[0.689651268115942],[0.717525789527137],[0.7343532684283728]
54,[0.836503658713638],[0.6989356884057971],[0.7071324717020292],[0.7204450625869263]
55,[0.8382025824832744],[0.6991621376811594],[0.7289497374825087],[0.713490959666203]
56,[0.8514265812717486],[0.6881793478260869],[0.7349838433743187],[0.7162726008344924]
57,[0.8437937555861645],[0.6937273550724637],[0.7529018919225859],[0.7204450625869263]
58,[0.8353951270489589],[0.697463768115942],[0.7179167838521063],[0.7246175243393602]
59,[0.8424986134944619],[0.7000679347826086],[0.7206463790569916],[0.7301808066759388]
60,[0.8562245725829533],[0.6863677536231884],[0.7115480258169692],[0.7399165507649513]
61,[0.8479794910636501],[0.6911231884057971],[0.70055586182524],[0.7510431154381085]
62,[0.837649478374616],[0.7007472826086957],[0.6925960334849457],[0.7482614742698191]
63,[0.8497171991005323],[0.6946331521739131],[0.7091652517192718],[0.7399165507649513]
64,[0.8351504671508851],[0.6928215579710145],[0.725486388458496],[0.7287899860917941]
65,[0.8372350917130277],[0.6953125],[0.7094505508851275],[0.7371349095966621]
66,[0.8163273510239695],[0.7036911231884058],[0.6943823226801378],[0.7399165507649513]
67,[0.8337691072104634],[0.6983695652173914],[0.7130040652397114],[0.7343532684283728]
68,[0.8357391981003077],[0.697463768115942],[0.7353973239453014],[0.7204450625869263]
69,[0.8251635213045106],[0.6985960144927537],[0.7264413597354968],[0.7301808066759388]
70,[0.8238949678514315],[0.6984827898550725],[0.7181199433408957],[0.7260083449235049]
71,[0.827337115139201],[0.7015398550724637],[0.7066097185326551],[0.7399165507649513]
72,[0.8226366714182971],[0.7021059782608695],[0.7018501222216535],[0.7329624478442281]
73,[0.8380694014114746],[0.7036911231884058],[0.698568064828244],[0.741307371349096]
74,[0.8202042743239714],[0.6995018115942029],[0.6934607532989332],[0.7510431154381085]
75,[0.8348239644066148],[0.6998414855072463],[0.6911660101632581],[0.7426981919332406]
76,[0.8287731127246566],[0.6970108695652174],[0.7014224279739263],[0.7357440890125174]
77,[0.8383625613498515],[0.6913496376811594],[0.6943304412719769],[0.7468706536856745]
78,[0.8176037402472635],[0.7057291666666666],[0.7036325008050125],[0.7399165507649513]
79,[0.828952193422162],[0.7014266304347826],[0.6957946318578654],[0.7454798331015299]
80,[0.8275149056984894],[0.7012001811594203],[0.7172767017580703],[0.741307371349096]
81,[0.8259149516082328],[0.7076539855072463],[0.6973716960662927],[0.7426981919332406]
82,[0.8219175847328227],[0.7028985507246377],[0.6946738544690924],[0.7482614742698191]
83,[0.8282112131516138],[0.7002943840579711],[0.7011189832143558],[0.7440890125173852]
84,[0.8169904519682345],[0.7040307971014492],[0.7184235142733026],[0.7329624478442281]
85,[0.81384570615879],[0.7028985507246377],[0.6921266513424557],[0.7357440890125174]
86,[0.8123793720767118],[0.7091259057971014],[0.7156557186256696],[0.7371349095966621]
87,[0.8186754341898621],[0.6991621376811594],[0.6934311335209513],[0.7593880389429764]
88,[0.820224128825509],[0.7002943840579711],[0.7023627617926193],[0.741307371349096]
89,[0.8113174229806316],[0.7072010869565217],[0.6981456821916497],[0.7468706536856745]
90,[0.8196703491435535],[0.6985960144927537],[0.7267516013312572],[0.7260083449235049]
91,[0.822575950158247],[0.698822463768116],[0.6721583541394607],[0.7510431154381085]
92,[0.8146730174944885],[0.7024456521739131],[0.702871011386163],[0.7440890125173852]
93,[0.8178816255775915],[0.7016530797101449],[0.7168990607387665],[0.7399165507649513]
94,[0.8209975976766883],[0.7040307971014492],[0.7144674065215862],[0.7371349095966621]
95,[0.8245556937071724],[0.7079936594202898],[0.70157623896181],[0.7399165507649513]
96,[0.8151661076623461],[0.7018795289855072],[0.6924559095141287],[0.7510431154381085]
97,[0.825854383840941],[0.7006340579710145],[0.7300533983074077],[0.741307371349096]
98,[0.8141521276987117],[0.7047101449275363],[0.6894650033186805],[0.7552155771905424]
99,[0.8118705895283947],[0.7060688405797102],[0.6803248780824876],[0.7579972183588317]
100,[0.8247767707359963],[0.6992753623188406],[0.689237107156215],[0.760778859527121]
